Year,Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,Value,women,men,>18,18-25,26-35,36-45,46-55,56+,Women under 18,Women 18-25,Women 26-35,Women 36-45,Women 46-55,Women 56+,Men under 18,Men 18-25,Men 26-35,Men 36-45,Men 46-55,Men 56+,ref_name_uz,ref_name_en,ref_name_ru,ref_code,ref_region_id
2016,1730238,Furqat tumani,Фуркатский район,Furkat district,Фурқат тумани,109900,54300,55600,33752,15542,18230,14528.0,13585.0,14250.0,16349,7472,8696,7459.0,6791.0,7526.0,17403,8070,9534,7069.0,6795.0,6724.0,Furqat tumani,Furqat District,Фурғатский район,141,4
2017,1730238,Furqat tumani,Фуркатский район,Furkat district,Фурқат тумани,111900,55200,56700,34672,15270,18474,14811.0,13754.0,14963.0,16666,7450,8786,7545.0,6941.0,7871.0,18006,7820,9688,7266.0,6813.0,7092.0,Furqat tumani,Furqat District,Фурғатский район,141,4
2018,1730238,Furqat tumani,Фуркатский район,Furkat district,Фурқат тумани,113800,56200,57600,35551,14375,19425,14858.0,13910.0,15691.0,16995,7050,9306,7581.0,7019.0,8231.0,18556,7325,10119,7277.0,6891.0,7460.0,Furqat tumani,Furqat District,Фурғатский район,141,4
2019,1730238,Furqat tumani,Фуркатский район,Furkat district,Фурқат тумани,115600,57000,58600,36524,13256,20222,15143.0,13767.0,16651.0,17377,6376,9739,7718.0,6991.0,8718.0,19147,6880,10483,7425.0,6776.0,7933.0,Furqat tumani,Furqat District,Фурғатский район,141,4
2020,1730238,Furqat tumani,Фуркатский район,Furkat district,Фурқат тумани,117300,57600,59700,37600,12489,20554,15266.0,13936.0,17438.0,17884,6116,9715,7707.0,7109.0,9114.0,19716,6373,10839,7559.0,6828.0,8324.0,Furqat tumani,Furqat District,Фурғатский район,141,4
2021,1730238,Furqat tumani,Фуркатский район,Furkat district,Фурқат тумани,119300,58600,60700,38918,11643,21109,15386.0,13935.0,18296.0,18548,5689,9851,7808.0,7121.0,9555.0,20370,5954,11258,7578.0,6814.0,8741.0,Furqat tumani,Furqat District,Фурғатский район,141,4
2022,1730238,Furqat tumani,Фуркатский район,Furkat district,Фурқат тумани,121800,59900,61900,40539,11112,21055,15878.0,14023.0,19178.0,19345,5483,9785,8082.0,7106.0,10045.0,21194,5629,11270,7796.0,6917.0,9133.0,Furqat tumani,Furqat District,Фурғатский район,141,4
2023,1730238,Furqat tumani,Фуркатский район,Furkat district,Фурқат тумани,124400,61200,63200,41966,11094,20798,16458.0,14144.0,19925.0,19997,5567,9712,8265.0,7147.0,10476.0,21969,5527,11086,8193.0,6997.0,9449.0,Furqat tumani,Furqat District,Фурғатский район,141,4
2024,1730238,Furqat tumani,Фуркатский район,Furkat district,Фурқат тумани,127100,62600,64500,43746,10992,20472,16669.0,14214.0,21016.0,20871,5506,9650,8280.0,7209.0,11044.0,22875,5486,10822,8389.0,7005.0,9973.0,Furqat tumani,Furqat District,Фурғатский район,141,4
2025,1730238,Furqat tumani,Фуркатский район,Furkat district,Фурқат тумани,129800,63900,65900,45232,11221,20109,16788.0,14423.0,21981.0,21710,5482,9590,8274.0,7303.0,11565.0,23522,5739,10519,8515.0,7120.0,10417.0,Furqat tumani,Furqat District,Фурғатский район,141,4
2010,1730242,Yozyovon tumani,Язъяванский район,Yazyavan district,Ёзёвон тумани,85400,,43000,,,,,,,,,,,,,,,,,,,Yozyovon tumani,Yozyovon District,Ёзёвонский район,148,4
2011,1730242,Yozyovon tumani,Язъяванский район,Yazyavan district,Ёзёвон тумани,93100,,47300,,,,,,,,,,,,,,,,,,,Yozyovon tumani,Yozyovon District,Ёзёвонский район,148,4
2012,1730242,Yozyovon tumani,Язъяванский район,Yazyavan district,Ёзёвон тумани,94800,,48200,,,,,,,,,,,,,,,,,,,Yozyovon tumani,Yozyovon District,Ёзёвонский район,148,4
2013,1730242,Yozyovon tumani,Язъяванский район,Yazyavan district,Ёзёвон тумани,96400,,49100,34639,14162,17290,12569.0,8797.0,8954.0,16216,7059,8676,6203.0,4443.0,4756.0,18423,7103,8614,6366.0,4355.0,4198.0,Yozyovon tumani,Yozyovon District,Ёзёвонский район,148,4
2014,1730242,Yozyovon tumani,Язъяванский район,Yazyavan district,Ёзёвон тумани,98300,48300,50000,34846,14352,17720,12907.0,9135.0,9342.0,16465,6986,8917,6364.0,4609.0,4939.0,18381,7366,8803,6544.0,4527.0,4403.0,Yozyovon tumani,Yozyovon District,Ёзёвонский район,148,4
2015,1730242,Yozyovon tumani,Язъяванский район,Yazyavan district,Ёзёвон тумани,100200,49300,50900,35164,14508,17937,13483.0,9408.0,9715.0,16719,6973,9094,6605.0,4719.0,5165.0,18445,7535,8843,6879.0,4689.0,4551.0,Yozyovon tumani,Yozyovon District,Ёзёвонский район,148,4
2016,1730242,Yozyovon tumani,Язъяванский район,Yazyavan district,Ёзёвон тумани,102200,50300,51900,35597,14375,18313,13992.0,9860.0,10092.0,16958,6911,9230,6908.0,5014.0,5279.0,18639,7464,9083,7084.0,4846.0,4813.0,Yozyovon tumani,Yozyovon District,Ёзёвонский район,148,4
2017,1730242,Yozyovon tumani,Язъяванский район,Yazyavan district,Ёзёвон тумани,104200,51300,52900,35908,14106,19035,14181.0,10329.0,10616.0,17280,6610,9640,6967.0,5243.0,5544.0,18628,7496,9395,7214.0,5086.0,5073.0,Yozyovon tumani,Yozyovon District,Ёзёвонский район,148,4
2018,1730242,Yozyovon tumani,Язъяванский район,Yazyavan district,Ёзёвон тумани,105900,52100,53800,36271,13944,19423,14344.0,10732.0,11205.0,17449,6541,9805,7072.0,5402.0,5823.0,18822,7403,9618,7272.0,5330.0,5382.0,Yozyovon tumani,Yozyovon District,Ёзёвонский район,148,4
2019,1730242,Yozyovon tumani,Язъяванский район,Yazyavan district,Ёзёвон тумани,107800,53000,54800,36946,13590,19781,14682.0,11056.0,11781.0,17961,6156,9984,7249.0,5534.0,6149.0,18985,7434,9797,7433.0,5522.0,5633.0,Yozyovon tumani,Yozyovon District,Ёзёвонский район,148,4
2020,1730242,Yozyovon tumani,Язъяванский район,Yazyavan district,Ёзёвон тумани,110000,54100,55900,38090,13162,19821,15136.0,11431.0,12365.0,18605,5856,9915,7537.0,5695.0,6457.0,19485,7306,9906,7599.0,5736.0,5908.0,Yozyovon tumani,Yozyovon District,Ёзёвонский район,148,4
2021,1730242,Yozyovon tumani,Язъяванский район,Yazyavan district,Ёзёвон тумани,112200,55100,57100,38957,12910,20037,15522.0,11840.0,12934.0,18943,5883,9855,7741.0,5908.0,6770.0,20014,7027,10182,7782.0,5932.0,6164.0,Yozyovon tumani,Yozyovon District,Ёзёвонский район,148,4
2022,1730242,Yozyovon tumani,Язъяванский район,Yazyavan district,Ёзёвон тумани,114700,56300,58400,40353,12501,20017,16102.0,12222.0,13547.0,19613,5708,9752,8078.0,6042.0,7118.0,20740,6793,10265,8024.0,6181.0,6430.0,Yozyovon tumani,Yozyovon District,Ёзёвонский район,148,4
2023,1730242,Yozyovon tumani,Язъяванский район,Yazyavan district,Ёзёвон тумани,117200,57500,59700,41545,12312,19907,16590.0,12493.0,14390.0,20280,5507,9648,8337.0,6179.0,7574.0,21265,6805,10259,8254.0,6315.0,6816.0,Yozyovon tumani,Yozyovon District,Ёзёвонский район,148,4
2024,1730242,Yozyovon tumani,Язъяванский район,Yazyavan district,Ёзёвон тумани,119800,58800,61000,42790,12091,20009,16985.0,12831.0,15068.0,20818,5624,9498,8563.0,6347.0,7920.0,21972,6467,10511,8422.0,6484.0,7148.0,Yozyovon tumani,Yozyovon District,Ёзёвонский район,148,4
2025,1730242,Yozyovon tumani,Язъяванский район,Yazyavan district,Ёзёвон тумани,122200,59900,62300,43733,12114,20068,17309.0,13263.0,15656.0,21247,5659,9486,8711.0,6581.0,8222.0,22486,6455,10582,8598.0,6682.0,7434.0,Yozyovon tumani,Yozyovon District,Ёзёвонский район,148,4
2010,1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1561600,,778200,,,,,,,,,,,,,,,,,,,,,,,
2011,1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1601100,,797300,,,,,,,,,,,,,,,,,,,,,,,
2012,1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1629100,,811500,,,,,,,,,,,,,,,,,,,,,,,
2013,1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1653800,,824400,585974,242157,303183,214005.0,155077.0,153441.0,286723,119929,152182,108663.0,79959.0,81934.0,299251,122228,151001,105342.0,75119.0,71508.0,,,,,
2014,1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1684100,843800,840300,589582,242032,311225,218663.0,162077.0,160526.0,288172,119450,156152,110796.0,83435.0,85816.0,301410,122582,155073,107867.0,78642.0,74710.0,,,,,
2015,1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1715600,859200,856400,596610,242201,315289,225446.0,168434.0,167648.0,291286,119454,158103,114136.0,86581.0,89649.0,305324,122747,157186,111310.0,81854.0,77999.0,,,,,
2016,1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1746900,874500,872400,602363,240432,322206,231775.0,174750.0,175357.0,293677,118623,161297,117186.0,89803.0,93890.0,308686,121809,160909,114589.0,84948.0,81467.0,,,,,
2017,1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1776700,889100,887600,610737,233566,329355,238602.0,181087.0,183384.0,297571,115132,164715,120454.0,92926.0,98305.0,313166,118434,164640,118149.0,88161.0,85079.0,,,,,
2018,1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1805000,903000,902000,615380,228343,336413,246702.0,186593.0,191504.0,299621,112543,167804,124600.0,95756.0,102659.0,315759,115800,168609,122102.0,90837.0,88845.0,,,,,
2019,1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1835700,918000,917700,623512,223056,341253,255247.0,191711.0,200911.0,303137,109982,170068,128756.0,98245.0,107802.0,320375,113074,171185,126492.0,93466.0,93110.0,,,,,
2020,1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1866500,933100,933400,633859,217975,342937,263596.0,197345.0,210782.0,307773,107590,170678,132985.0,101053.0,112994.0,326086,110385,172259,130612.0,96292.0,97788.0,,,,,
2021,1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1893300,946500,946800,643399,214095,341666,272106.0,202149.0,219906.0,312308,105461,169874,137241.0,103450.0,118208.0,331091,108634,171792,134865.0,98699.0,101698.0,,,,,
2022,1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1924200,961700,962500,656748,209831,338390,280745.0,207280.0,231170.0,318594,102979,168241,141517.0,105938.0,124404.0,338154,106852,170149,139228.0,101342.0,106766.0,,,,,
2023,1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1958100,978400,979700,670014,207801,336324,287358.0,213025.0,243569.0,324742,101818,167220,145055.0,108909.0,130668.0,345272,105983,169104,142304.0,104117.0,112901.0,,,,,
2024,1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,1995600,996700,998900,687134,208396,331365,293093.0,219483.0,256110.0,332617,102186,164484,148044.0,111970.0,137439.0,354517,106210,166881,145049.0,107513.0,118671.0,,,,,
2025,1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,2032400,1014800,1017600,701460,208892,330547,296677.0,226576.0,268247.0,339216,102513,163774,149815.0,115495.0,143990.0,362244,106379,166773,146862.0,111081.0,124257.0,,,,,
2010,1733401,Urganch shahri,Город Ургенч,Urgench city,Урганч шаҳри,135200,,67600,,,,,,,,,,,,,,,,,,,Urganch tumani,Urganch District,Ургутский район,24,13
2011,1733401,Urganch shahri,Город Ургенч,Urgench city,Урганч шаҳри,136400,,67800,,,,,,,,,,,,,,,,,,,Urganch tumani,Urganch District,Ургутский район,24,13
2012,1733401,Urganch shahri,Город Ургенч,Urgench city,Урганч шаҳри,136800,,68200,,,,,,,,,,,,,,,,,,,Urganch tumani,Urganch District,Ургутский район,24,13
2013,1733401,Urganch shahri,Город Ургенч,Urgench city,Урганч шаҳри,136600,,68300,44069,18476,25924,18224.0,14535.0,15437.0,21190,8840,12883,9360.0,7580.0,8480.0,22879,9636,13041,8864.0,6955.0,6957.0,Urganch tumani,Urganch District,Ургутский район,24,13
2014,1733401,Urganch shahri,Город Ургенч,Urgench city,Урганч шаҳри,137300,68500,68800,44020,18183,26126,18312.0,14838.0,15855.0,21166,8573,12972,9398.0,7678.0,8733.0,22854,9610,13154,8915.0,7160.0,7122.0,Urganch tumani,Urganch District,Ургутский район,24,13
2015,1733401,Urganch shahri,Город Ургенч,Urgench city,Урганч шаҳри,138000,68700,69300,44219,17655,26095,18683.0,14968.0,16397.0,21291,8224,12872,9571.0,7748.0,9023.0,22928,9431,13223,9112.0,7220.0,7374.0,Urganch tumani,Urganch District,Ургутский район,24,13
2016,1733401,Urganch shahri,Город Ургенч,Urgench city,Урганч шаҳри,138600,68900,69700,44330,17534,25938,18823.0,15174.0,16841.0,21303,8137,12710,9617.0,7895.0,9273.0,23027,9397,13228,9207.0,7279.0,7569.0,Urganch tumani,Urganch District,Ургутский район,24,13
2017,1733401,Urganch shahri,Город Ургенч,Urgench city,Урганч шаҳри,139300,69200,70100,44677,16863,25647,19261.0,15411.0,17414.0,21495,7771,12498,9819.0,8034.0,9554.0,23182,9092,13149,9442.0,7377.0,7860.0,Urganch tumani,Urganch District,Ургутский район,24,13
2018,1733401,Urganch shahri,Город Ургенч,Urgench city,Урганч шаҳри,140200,69700,70500,45081,16517,25464,19669.0,15613.0,17837.0,21576,7827,12155,10133.0,8143.0,9806.0,23505,8690,13309,9536.0,7471.0,8031.0,Urganch tumani,Urganch District,Ургутский район,24,13
2019,1733401,Urganch shahri,Город Ургенч,Urgench city,Урганч шаҳри,141700,70400,71300,45758,15946,25135,20578.0,15753.0,18516.0,21903,7579,12055,10476.0,8241.0,10167.0,23855,8367,13080,10102.0,7512.0,8349.0,Urganch tumani,Urganch District,Ургутский район,24,13
2020,1733401,Urganch shahri,Город Ургенч,Urgench city,Урганч шаҳри,143700,71500,72200,46589,15682,24984,21219.0,15980.0,19297.0,22239,7655,11966,10734.0,8355.0,10552.0,24350,8027,13018,10486.0,7625.0,8745.0,Urganch tumani,Urganch District,Ургутский район,24,13
2021,1733401,Urganch shahri,Город Ургенч,Urgench city,Урганч шаҳри,145000,72100,72900,47073,15444,24629,22077.0,16070.0,19672.0,22453,7506,11793,11171.0,8382.0,10773.0,24620,7938,12836,10906.0,7688.0,8899.0,Urganch tumani,Urganch District,Ургутский район,24,13
2022,1733401,Urganch shahri,Город Ургенч,Urgench city,Урганч шаҳри,146700,73000,73700,48000,15003,24346,22564.0,16375.0,20434.0,22919,7378,11593,11430.0,8497.0,11199.0,25081,7625,12753,11135.0,7878.0,9235.0,Urganch tumani,Urganch District,Ургутский район,24,13
2023,1733401,Urganch shahri,Город Ургенч,Urgench city,Урганч шаҳри,149900,74800,75100,49926,14983,24105,23149.0,16721.0,21059.0,23997,7293,11502,11701.0,8722.0,11563.0,25929,7690,12603,11448.0,7999.0,9496.0,Urganch tumani,Urganch District,Ургутский район,24,13
2024,1733401,Urganch shahri,Город Ургенч,Urgench city,Урганч шаҳри,153100,76400,76700,52090,14922,23816,23177.0,17298.0,21822.0,25026,7306,11378,11761.0,8974.0,11980.0,27064,7616,12438,11416.0,8324.0,9843.0,Urganch tumani,Urganch District,Ургутский район,24,13
2025,1733401,Urganch shahri,Город Ургенч,Urgench city,Урганч шаҳри,155700,77800,77900,53207,15221,23583,23543.0,17715.0,22422.0,25631,7273,11516,11943.0,9152.0,12300.0,27576,7948,12067,11600.0,8563.0,10122.0,Urganch tumani,Urganch District,Ургутский район,24,13
2010,1733406,Xiva shahri,Город Хива,Khiva city,Хива шаҳри,0,,0,,,,,,,,,,,,,,,,,,,Xiva tumani,Khiva District,Хивинский район,21,13
2011,1733406,Xiva shahri,Город Хива,Khiva city,Хива шаҳри,0,,0,,,,,,,,,,,,,,,,,,,Xiva tumani,Khiva District,Хивинский район,21,13
2012,1733406,Xiva shahri,Город Хива,Khiva city,Хива шаҳри,0,,0,,,,,,,,,,,,,,,,,,,Xiva tumani,Khiva District,Хивинский район,21,13
2013,1733406,Xiva shahri,Город Хива,Khiva city,Хива шаҳри,0,,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Xiva tumani,Khiva District,Хивинский район,21,13
2014,1733406,Xiva shahri,Город Хива,Khiva city,Хива шаҳри,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Xiva tumani,Khiva District,Хивинский район,21,13
2015,1733406,Xiva shahri,Город Хива,Khiva city,Хива шаҳри,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Xiva tumani,Khiva District,Хивинский район,21,13
2016,1733406,Xiva shahri,Город Хива,Khiva city,Хива шаҳри,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Xiva tumani,Khiva District,Хивинский район,21,13
2017,1733406,Xiva shahri,Город Хива,Khiva city,Хива шаҳри,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,Xiva tumani,Khiva District,Хивинский район,21,13
2018,1733406,Xiva shahri,Город Хива,Khiva city,Хива шаҳри,89300,45000,44300,29768,12381,16935,11747.0,8885.0,9550.0,14785,6089,8639,5847.0,4513.0,5143.0,14983,6292,8296,5900.0,4372.0,4407.0,Xiva tumani,Khiva District,Хивинский район,21,13
2019,1733406,Xiva shahri,Город Хива,Khiva city,Хива шаҳри,90700,45800,44900,30021,12163,17399,12102.0,9173.0,9881.0,14866,6094,8741,6074.0,4673.0,5326.0,15155,6069,8658,6028.0,4500.0,4555.0,Xiva tumani,Khiva District,Хивинский район,21,13
2020,1733406,Xiva shahri,Город Хива,Khiva city,Хива шаҳри,92200,46500,45700,30219,11868,17691,12575.0,9512.0,10312.0,14947,5941,8781,6367.0,4859.0,5545.0,15272,5927,8910,6208.0,4653.0,4767.0,Xiva tumani,Khiva District,Хивинский район,21,13
2021,1733406,Xiva shahri,Город Хива,Khiva city,Хива шаҳри,93400,47100,46300,30549,11267,18025,12984.0,9856.0,10675.0,15037,5815,8810,6614.0,5038.0,5741.0,15512,5452,9215,6370.0,4818.0,4935.0,Xiva tumani,Khiva District,Хивинский район,21,13
2022,1733406,Xiva shahri,Город Хива,Khiva city,Хива шаҳри,95300,48100,47200,31015,11037,18245,13581.0,10163.0,11218.0,15266,5689,9025,6853.0,5189.0,6038.0,15749,5348,9220,6728.0,4975.0,5180.0,Xiva tumani,Khiva District,Хивинский район,21,13
2023,1733406,Xiva shahri,Город Хива,Khiva city,Хива шаҳри,97000,48900,48100,31781,10773,18148,14203.0,10335.0,11735.0,15643,5531,8947,7234.0,5191.0,6336.0,16138,5242,9201,6969.0,5144.0,5399.0,Xiva tumani,Khiva District,Хивинский район,21,13
2024,1733406,Xiva shahri,Город Хива,Khiva city,Хива шаҳри,98800,49800,49000,32270,11067,18061,14464.0,10575.0,12403.0,15832,5664,8944,7348.0,5357.0,6669.0,16438,5403,9117,7116.0,5218.0,5734.0,Xiva tumani,Khiva District,Хивинский район,21,13
2025,1733406,Xiva shahri,Город Хива,Khiva city,Хива шаҳри,100100,50400,49700,32067,11713,17751,14637.0,10886.0,13013.0,15670,5940,8851,7406.0,5545.0,6991.0,16397,5773,8900,7231.0,5341.0,6022.0,Xiva tumani,Khiva District,Хивинский район,21,13
2010,1733204,Bog‘ot tumani,Багатский район,Bagat district,Боғот тумани,134200,,67300,,,,,,,,,,,,,,,,,,,Bog'ot tumani,Bog'ot District,Багатский район,17,13
2011,1733204,Bog‘ot tumani,Багатский район,Bagat district,Боғот тумани,138700,,68000,,,,,,,,,,,,,,,,,,,Bog'ot tumani,Bog'ot District,Багатский район,17,13
2012,1733204,Bog‘ot tumani,Багатский район,Bagat district,Боғот тумани,141400,,69400,,,,,,,,,,,,,,,,,,,Bog'ot tumani,Bog'ot District,Багатский район,17,13
2013,1733204,Bog‘ot tumani,Багатский район,Bagat district,Боғот тумани,144000,,70800,50423,21577,28359,17910.0,13016.0,12718.0,24383,10962,14494,9493.0,6981.0,6892.0,26040,10615,13865,8418.0,6035.0,5826.0,Bog'ot tumani,Bog'ot District,Багатский район,17,13
2014,1733204,Bog‘ot tumani,Багатский район,Bagat district,Боғот тумани,146900,74600,72300,50410,21971,29170,18296.0,13718.0,13321.0,24506,10965,14960,9559.0,7374.0,7211.0,25904,11006,14210,8737.0,6344.0,6110.0,Bog'ot tumani,Bog'ot District,Багатский район,17,13
2015,1733204,Bog‘ot tumani,Багатский район,Bagat district,Боғот тумани,149800,76000,73800,50551,22267,29788,19031.0,14217.0,13974.0,24521,11027,15420,9859.0,7638.0,7597.0,26030,11240,14368,9173.0,6579.0,6377.0,Bog'ot tumani,Bog'ot District,Багатский район,17,13
2016,1733204,Bog‘ot tumani,Багатский район,Bagat district,Боғот тумани,152800,77600,75200,51216,22220,30217,19690.0,14594.0,14877.0,24780,11016,15638,10160.0,7845.0,8139.0,26436,11204,14579,9531.0,6749.0,6738.0,Bog'ot tumani,Bog'ot District,Багатский район,17,13
2017,1733204,Bog‘ot tumani,Багатский район,Bagat district,Боғот тумани,155400,78800,76600,51852,21653,30773,20384.0,15234.0,15537.0,25050,10722,15937,10377.0,8193.0,8541.0,26802,10931,14836,10007.0,7041.0,6997.0,Bog'ot tumani,Bog'ot District,Багатский район,17,13
2018,1733204,Bog‘ot tumani,Багатский район,Bagat district,Боғот тумани,158100,80100,78000,52633,20627,31227,21441.0,15755.0,16375.0,25258,10324,16031,10975.0,8437.0,9025.0,27375,10303,15196,10466.0,7318.0,7350.0,Bog'ot tumani,Bog'ot District,Багатский район,17,13
2019,1733204,Bog‘ot tumani,Багатский район,Bagat district,Боғот тумани,160900,81400,79500,53583,20000,31407,22487.0,16137.0,17246.0,25719,9880,16199,11487.0,8591.0,9484.0,27864,10120,15208,11000.0,7546.0,7762.0,Bog'ot tumani,Bog'ot District,Багатский район,17,13
2020,1733204,Bog‘ot tumani,Багатский район,Bagat district,Боғот тумани,163800,82800,81000,54986,19037,31495,23516.0,16645.0,18083.0,26477,9254,16222,12023.0,8853.0,9973.0,28509,9783,15273,11494.0,7792.0,8110.0,Bog'ot tumani,Bog'ot District,Багатский район,17,13
2021,1733204,Bog‘ot tumani,Багатский район,Bagat district,Боғот тумани,166600,84200,82400,56357,18133,31278,24757.0,17215.0,18831.0,26960,9116,15755,12754.0,9149.0,10418.0,29397,9017,15523,12003.0,8067.0,8414.0,Bog'ot tumani,Bog'ot District,Багатский район,17,13
2022,1733204,Bog‘ot tumani,Багатский район,Bagat district,Боғот тумани,169500,85600,83900,57554,17431,31186,25819.0,17702.0,19797.0,27464,8755,15601,13457.0,9339.0,10959.0,30090,8676,15585,12362.0,8363.0,8838.0,Bog'ot tumani,Bog'ot District,Багатский район,17,13
2023,1733204,Bog‘ot tumani,Багатский район,Bagat district,Боғот тумани,172600,87100,85500,58912,17272,30579,26686.0,18336.0,20791.0,28019,8654,15343,13864.0,9702.0,11471.0,30893,8618,15236,12823.0,8634.0,9320.0,Bog'ot tumani,Bog'ot District,Багатский район,17,13
2024,1733204,Bog‘ot tumani,Багатский район,Bagat district,Боғот тумани,176100,88700,87400,60561,17228,30279,27075.0,19040.0,21879.0,28752,8633,15200,14031.0,10033.0,12098.0,31809,8595,15079,13045.0,9007.0,9782.0,Bog'ot tumani,Bog'ot District,Багатский район,17,13
2025,1733204,Bog‘ot tumani,Багатский район,Bagat district,Боғот тумани,179600,90400,89200,62039,17552,29702,27661.0,19732.0,22873.0,29562,8483,14876,14402.0,10361.0,12704.0,32477,9069,14826,13260.0,9371.0,10169.0,Bog'ot tumani,Bog'ot District,Багатский район,17,13
2010,1733208,Gurlan tumani,Гурленский район,Gurlan district,Гурлан тумани,125700,,62500,,,,,,,,,,,,,,,,,,,Gurlan tumani,Gurlan District,Гурленский район,18,13
2011,1733208,Gurlan tumani,Гурленский район,Gurlan district,Гурлан тумани,128300,,64700,,,,,,,,,,,,,,,,,,,Gurlan tumani,Gurlan District,Гурленский район,18,13
2012,1733208,Gurlan tumani,Гурленский район,Gurlan district,Гурлан тумани,130200,,65600,,,,,,,,,,,,,,,,,,,Gurlan tumani,Gurlan District,Гурленский район,18,13
2013,1733208,Gurlan tumani,Гурленский район,Gurlan district,Гурлан тумани,131900,,66500,49148,18763,23731,16840.0,11490.0,11964.0,24099,8896,11741,8476.0,5802.0,6409.0,25049,9867,11990,8364.0,5688.0,5555.0,Gurlan tumani,Gurlan District,Гурленский район,18,13
2014,1733208,Gurlan tumani,Гурленский район,Gurlan district,Гурлан тумани,134100,66300,67800,49168,19037,24061,17456.0,11948.0,12472.0,24111,8959,11889,8700.0,6045.0,6684.0,25057,10078,12172,8756.0,5903.0,5788.0,Gurlan tumani,Gurlan District,Гурленский район,18,13
2015,1733208,Gurlan tumani,Гурленский район,Gurlan district,Гурлан тумани,136400,67500,68900,49235,19186,24613,17857.0,12522.0,12974.0,24139,9029,12190,8865.0,6348.0,6937.0,25096,10157,12423,8992.0,6175.0,6037.0,Gurlan tumani,Gurlan District,Гурленский район,18,13
2016,1733208,Gurlan tumani,Гурленский район,Gurlan district,Гурлан тумани,139000,68800,70200,49625,19245,25082,18358.0,13147.0,13498.0,24188,9230,12347,9135.0,6606.0,7250.0,25437,10015,12735,9224.0,6542.0,6248.0,Gurlan tumani,Gurlan District,Гурленский район,18,13
2017,1733208,Gurlan tumani,Гурленский район,Gurlan district,Гурлан тумани,141300,69700,71600,50062,18881,25812,18837.0,13654.0,14094.0,24326,9105,12681,9367.0,6863.0,7559.0,25736,9776,13131,9470.0,6791.0,6535.0,Gurlan tumani,Gurlan District,Гурленский район,18,13
2018,1733208,Gurlan tumani,Гурленский район,Gurlan district,Гурлан тумани,143200,70700,72500,50040,18648,26022,19731.0,14150.0,14645.0,24319,9002,12678,9823.0,7128.0,7820.0,25721,9646,13344,9908.0,7022.0,6826.0,Gurlan tumani,Gurlan District,Гурленский район,18,13
2019,1733208,Gurlan tumani,Гурленский район,Gurlan district,Гурлан тумани,145500,71900,73600,50204,18796,26118,20267.0,14741.0,15335.0,24263,9297,12655,10068.0,7403.0,8171.0,25941,9499,13463,10199.0,7338.0,7164.0,Gurlan tumani,Gurlan District,Гурленский район,18,13
2020,1733208,Gurlan tumani,Гурленский район,Gurlan district,Гурлан тумани,147700,72900,74800,50596,18901,26219,20851.0,15140.0,15963.0,24458,9405,12593,10417.0,7584.0,8468.0,26138,9496,13626,10434.0,7556.0,7495.0,Gurlan tumani,Gurlan District,Гурленский район,18,13
2021,1733208,Gurlan tumani,Гурленский район,Gurlan district,Гурлан тумани,149500,73800,75700,51023,18603,26464,21195.0,15532.0,16718.0,24706,9293,12620,10539.0,7746.0,8970.0,26317,9310,13844,10656.0,7787.0,7749.0,Gurlan tumani,Gurlan District,Гурленский район,18,13
2022,1733208,Gurlan tumani,Гурленский район,Gurlan district,Гурлан тумани,151900,75000,76900,51926,18134,26500,21925.0,16040.0,17424.0,25083,9057,12648,10902.0,7990.0,9316.0,26843,9077,13852,11023.0,8051.0,8109.0,Gurlan tumani,Gurlan District,Гурленский район,18,13
